Номер,Номинал,Тип,Модификация,Вложение,Состояние,Серия,Страна,Сумма
АА 0855673,100 рублей,Бумажная,2014 г.,,10,Сочи 2014,Россия,100 руб.
аА 1431300,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
аА 1967765,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
АА003965948,100 рублей,Пластиковая,2018 г.,,10,ЧМ Футбол 2018,Россия,100 руб.
АА003998754,100 рублей,Пластиковая,2018 г.,,10,ЧМ Футбол 2018,Россия,100 руб.
АА004989403,100 рублей,Пластиковая,2018 г.,,10,ЧМ Футбол 2018,Россия,100 руб.
АА007959386,100 рублей,Пластиковая,2018 г.,,10,ЧМ Футбол 2018,Россия,100 руб.
АА00798385,100 рублей,Пластиковая,2018 г.,,10,ЧМ Футбол 2018,Россия,100 руб.
АА007989387,100 рублей,Пластиковая,2018 г.,,10,ЧМ Футбол 2018,Россия,100 руб.
аа2753621,100 рублей,Бумажная,2014 г.,,10,Сочи 2014,Россия,100 руб.
АА415007024,100 рублей,Бумажная,2022 г.,,10,Регулярный выпуск,Россия,100 руб.
АА598889525,100 рублей,Бумажная,2022 г.,,10,Регулярный выпуск,Россия,100 руб.
аа9955381,100 рублей,Бумажная,2014 г.,,10,Сочи 2014,Россия,100 руб.
аБ 6506747,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
аБ 7585246,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
аБ 7788397,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
АВ000409185,100 рублей,Пластиковая,2018 г.,,10,ЧМ Футбол 2018,Россия,100 руб.
аГ 1474475,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
аГ 9681922,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
аГ 9681923,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
аЗ 2814983,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
аИ 8399409,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
аК 4777948,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ах 7023738,50 рублей,Бумажная,1997 г. без модификации,,10,Регулярный выпуск,Россия,50 руб.
бЕ 5334516,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
бЕ 5334517,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
бЕ 5334521,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
бЗ 8059689,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
бИ 7070276,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
бИ 7070277,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
бО 5070209,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
еХ 6957767,10 рублей,Бумажная,1997 г. без модификации,,10,Регулярный выпуск,Россия,10 руб.
еЬ 0038419,10 рублей,Бумажная,1997 г. без модификации,,10,Регулярный выпуск,Россия,10 руб.
зГ 4373378,10 рублей,Бумажная,1997 г. без модификации,,10,Регулярный выпуск,Россия,10 руб.
ЗИ 5465186,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ЗИ 5465187,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ие 6464494,50 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,50 руб.
ко 8291111,50 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,50 руб.
КС 1114813,100 рублей,Бумажная,2014 г.,,10,Крым 2014,Россия,100 руб.
ла 2000205,50 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,50 руб.
лб 1799902,50 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,50 руб.
МВ712609012,100 рублей,Бумажная,2022 г.,,10,Регулярный выпуск,Россия,100 руб.
СК 1515976,100 рублей,Бумажная,2014 г.,,10,Крым 2014,Россия,100 руб.
ХС 6310408,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
чб 5247762,10 рублей,Бумажная,1997 г. без модификации,,10,Регулярный выпуск,Россия,10 руб.
чг 4454805,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
чл 3254778,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
чл 3254779,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
чл 3454780,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
чм 1716519,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
чм 1716521,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
чм 1716523,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
чм 6261197,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
чм 6261198,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
чм 6261199,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
чм 6261200,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
чп 0572395,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
ьа 5069565,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
ьв 6040064,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
ьи 1660889,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
ьк 4469430,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
ьл 6275666,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
эА 5163121,100 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,100 руб.
ЭВ 5314050,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ЭВ 9556552,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ЭГ 6595796,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ЭЛ 7770441,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ЭЛ 7770442,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ЭМ 4727203,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ЭО 8888762,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ЭС 1618769,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ЭС 1618770,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ЭС 1618771,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ЭТ 0271932,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
эх 0244762,50 рублей,Бумажная,1997 г. без модификации,,10,Регулярный выпуск,Россия,50 руб.
эх 5180555,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
эч 5180518,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
ЭЧ 5887222,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
ээ 5175175,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
ээ7178555,5 рублей,Бумажная,2024 г.,,10,Регулярный выпуск,Россия,5 руб.
ЯВ 3823303,10 рублей,Бумажная,2004 г. модификация,,10,Регулярный выпуск,Россия,10 руб.
бО 7070361,10 рублей,Бумажная,2004 г. модификация,,9,Регулярный выпуск,Россия,10 руб.
еМ 0230962,10 рублей,Бумажная,1997 г. без модификации,,9,Регулярный выпуск,Россия,10 руб.
кБ 3389565,10 рублей,Бумажная,1997 г. без модификации,,9,Регулярный выпуск,Россия,10 руб.
ха 4463045,10 рублей,Бумажная,1997 г. без модификации,,9,Регулярный выпуск,Россия,10 руб.
ьн 9885528,5 рублей,Бумажная,2024 г.,,9,Регулярный выпуск,Россия,5 руб.
ЬЯ 5595565,10 рублей,Бумажная,2004 г. модификация,,9,Регулярный выпуск,Россия,10 руб.
ЭВ 6594334,10 рублей,Бумажная,2004 г. модификация,,9,Регулярный выпуск,Россия,10 руб.
ЭО 2618797,10 рублей,Бумажная,2004 г. модификация,,9,Регулярный выпуск,Россия,10 руб.
ЯА 4499727,10 рублей,Бумажная,2004 г. модификация,,9,Регулярный выпуск,Россия,10 руб.
ЯЕ 0500433,10 рублей,Бумажная,2004 г. модификация,,9,Регулярный выпуск,Россия,10 руб.
аА 7537457,10 рублей,Бумажная,2004 г. модификация,,8,Регулярный выпуск,Россия,10 руб.
бМ 1397646,10 рублей,Бумажная,2004 г. модификация,,8,Регулярный выпуск,Россия,10 руб.
гч 0015510,500 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,500 руб.
еЬ 2437639,10 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,10 руб.
зА 0265045,10 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,10 руб.
зэ 8672618,500 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,500 руб.
иВ 0356582,10 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,10 руб.
иЯ 6040429,10 рублей,Бумажная,2001 г. модификация,,8,Регулярный выпуск,Россия,10 руб.
кБ 9782329,10 рублей,Бумажная,2001 г. модификация,,8,Регулярный выпуск,Россия,10 руб.
кЭ 8703387,100 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,100 руб.
лз 2243981,10 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,10 руб.
ли 0951108,10 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,10 руб.
сБ 5144924,100 рублей,Бумажная,2001 г. модификация,,8,Регулярный выпуск,Россия,100 руб.
тч 5080566,10 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,10 руб.
хь 0995343,10 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,10 руб.
хя 6193512,10 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,10 руб.
чл 1758378,10 рублей,Бумажная,1997 г. без модификации,,8,Регулярный выпуск,Россия,10 руб.
ЬС 3339679,10 рублей,Бумажная,2004 г. модификация,,8,Регулярный выпуск,Россия,10 руб.
ЬЬ 1220003,10 рублей,Бумажная,2004 г. модификация,,8,Регулярный выпуск,Россия,10 руб.
ЬЬ 8858429,10 рублей,Бумажная,2004 г. модификация,,8,Регулярный выпуск,Россия,10 руб.
эЬ 4018316,10 рублей,Бумажная,2001 г. модификация,,8,Регулярный выпуск,Россия,10 руб.
ЯВ 4846464,10 рублей,Бумажная,2004 г. модификация,,8,Регулярный выпуск,Россия,10 руб.
АА414906193,100 рублей,Бумажная,2022 г.,,7,Регулярный выпуск,Россия,100 руб.
аИ 4699909,10 рублей,Бумажная,2004 г. модификация,,7,Регулярный выпуск,Россия,10 руб.
