Название,Хранение,Коллекция,Номинал,Вложения,Сумма
Чемпионат мира по футболу 2018 (золото),Блистер,ЧМ по футболу,25 рублей,image.jpg (https://tables.mws.ru/attachment/spacespc64o0pa7uyw/2025/07/13/71c876f7de9d4fb5a1149870b18c3d9b/image.jpg),25
Чемпионат мира по футболу 2018 (синяя),Блистер,ЧМ по футболу,25 рублей,image.jpg (https://tables.mws.ru/attachment/spacespc64o0pa7uyw/2025/07/13/dd76f5072c8540769ded7ac9c3e422ca/image.jpg),25
Крокодил Гена,Блистер,Мультипликация,25 рублей,image.jpg (https://tables.mws.ru/attachment/spacespc64o0pa7uyw/2025/07/13/290d60a1c3bb473cbf4bcbed07587371/image.jpg),25
Сочи 2014 - Горы,Блистер,Сочи 2014,25 рублей,,25
"Сочи 2014 - Леопард, белый медведь и заяц",Блистер,Сочи 2014,25 рублей,,25
Сочи 2014 - Факел,Блистер,Сочи 2014,25 рублей,,25
Сочи 2014 - Горы,Капсула,Сочи 2014,25 рублей,,25
Рыльск,Капсула,Древние города России,10 рублей,,10
Нижний Новгород,Капсула,Древние города России,10 рублей,,10
Ивановская область,Капсула,Субъекты РФ,10 рублей,,10
Городец,Капсула,Древние города России,10 рублей,,10
Московская область,Капсула,Субъекты РФ,10 рублей,,10
Рязанская область,Капсула,Субъекты РФ,10 рублей,,10
Карачаево-Черкесская республика,Капсула,Субъекты РФ,10 рублей,,10
75 лет,Капсула,Великая отечественная война,10 рублей,,10
Козельск,Капсула,Древние города России,10 рублей,,10
Магнитогорск,Капсула,Города трудовой доблести,10 рублей,,10
"Сочи 2014 - Леопард, белый медведь и заяц",Капсула,Сочи 2014,25 рублей,,25
Нижний Тагил,Капсула,Города трудовой доблести,10 рублей,,10
Содружество независимых государств (СНГ),Капсула,Прочие,1 рубль,,1
Пермь,Капсула,Города трудовой доблести,10 рублей,,10
Омск,Капсула,Города трудовой доблести,10 рублей,,10
Саратов,Капсула,Города трудовой доблести,10 рублей,,10
Новокузнецк,Капсула,Города трудовой доблести,10 рублей,,10
Сочи 2014 - Факел,Капсула,Сочи 2014,25 рублей,,25
Сочи 2014 - Заяц (Забивака),Капсула,Сочи 2014,25 рублей,,25
Боровичи,Капсула,Города трудовой доблести,10 рублей,,10
Иркутск,Капсула,Города трудовой доблести,10 рублей,,10
Новосибирск,Капсула,Города трудовой доблести,10 рублей,,10
Казань,Капсула,Города трудовой доблести,10 рублей,,10
Томск,Капсула,Города трудовой доблести,10 рублей,,10
Ижевск,Капсула,Города трудовой доблести,10 рублей,,10
Самара,Капсула,Города трудовой доблести,10 рублей,,10
Екатеринбург,Капсула,Города трудовой доблести,10 рублей,,10
Хабаровский край,Капсула,Субъекты РФ,10 рублей,,10
Рыбинск,Капсула,Древние города России,10 рублей,,10
ЧМ 2018 - Кубок,Капсула,ЧМ по футболу,10 рублей,,25
ПТП образца 1937 г.,Капсула,Оружие великой победы,25 рублей,,25
Сочи 2014 - Факел,Капсула,Сочи 2014,25 рублей,,25
ИЛ-2,Капсула,Оружие великой победы,25 рублей,,25
ТТ,Капсула,Оружие великой победы,25 рублей,,25
ППШ-41,Капсула,Оружие великой победы,25 рублей,,25
М-30,Капсула,Оружие великой победы,25 рублей,,25
ЗИС-3,Капсула,Оружие великой победы,25 рублей,,25
ПЕ-2,Капсула,Оружие великой победы,25 рублей,,25
Т-34,Капсула,Оружие великой победы,25 рублей,,25
Д-3,Капсула,Оружие великой победы,25 рублей,,25
"Крейсер ""Киров""",Капсула,Оружие великой победы,25 рублей,,25
ЯК-9,Капсула,Оружие великой победы,25 рублей,,25
"""Щука""",Капсула,Оружие великой победы,25 рублей,,25
ПТРС образца 1943 г.,Капсула,Оружие великой победы,25 рублей,,25
ЛА-5,Капсула,Оружие великой победы,25 рублей,,25
Сочи 2014 - Горы,Капсула,Сочи 2014,25 рублей,,25
"Сочи 2014 - Леопард, белый медведь и заяц",Капсула,Сочи 2014,25 рублей,,25
Сочи 2014 - Лучик и Снежинка,Капсула,Сочи 2014,25 рублей,,25
Сочи 2014 - Лучик и Снежинка,Капсула,Сочи 2014,25 рублей,,25
Омская область,Капсула,Субъекты РФ,10 рублей,,10
Ханты-Мансийский автономный округ-югра,Капсула,Субъекты РФ,10 рублей,,10
Нижний Новгород,Капсула,Города трудовой доблести,10 рублей,,10
Иваново,Капсула,Города трудовой доблести,10 рублей,,10
Ярославль,Капсула,Города трудовой доблести,10 рублей,,10
Ульяновск,Капсула,Города трудовой доблести,10 рублей,,10
Челябинск,Капсула,Города трудовой доблести,10 рублей,,10
Уфа,Капсула,Города трудовой доблести,10 рублей,,10
Вильнюс,Капсула,Великая отечественная война,10 рублей,,10
Севастополь,Капсула,Великая отечественная война,10 рублей,,10
Восточно-Прусская операция,Капсула,Великая отечественная война,10 рублей,,10
Ковров,Капсула,Города воинской славы,10 рублей,,10
Хабаровск,Капсула,Города воинской славы,10 рублей,,10
Старый Оскол,Капсула,Города воинской славы,10 рублей,,10
Дмитров,Капсула,Города воинской славы,10 рублей,,10
Ломоносов,Капсула,Города воинской славы,10 рублей,,10
Анапа,Капсула,Города воинской славы,10 рублей,,10
Тверь,Капсула,Города воинской славы,10 рублей,,10
Козельск,Капсула,Города воинской славы,10 рублей,,10
Владивосток,Капсула,Города воинской славы,10 рублей,,10
Тихвин,Капсула,Города воинской славы,10 рублей,,10
Начальник,Капсула,Города воинской славы,10 рублей,,10
Малоярославец,Капсула,Города воинской славы,10 рублей,,10
Анапа,Капсула,Города воинской славы,10 рублей,,10
Гатчина,Капсула,Города воинской славы,10 рублей,,10
Ельня,Капсула,Города воинской славы,10 рублей,,10
Туапсе,Капсула,Города воинской славы,10 рублей,,10
Ельня,Капсула,Города воинской славы,10 рублей,,10
Кронштадт,Капсула,Города воинской славы,10 рублей,,10
Тверь,Капсула,Города воинской славы,10 рублей,,10
Владикавказ,Капсула,Города воинской славы,10 рублей,,10
Малоярославец,Капсула,Города воинской славы,10 рублей,,10
Хабаровск,Капсула,Города воинской славы,10 рублей,,10
Курск,Капсула,Города воинской славы,10 рублей,,10
Колпино,Капсула,Города воинской славы,10 рублей,,10
Орел,Капсула,Города воинской славы,10 рублей,,10
Дмитров,Капсула,Города воинской славы,10 рублей,,10
Волоколамск,Капсула,Города воинской славы,10 рублей,,10
Полярный,Капсула,Города воинской славы,10 рублей,,10
Брянск,Капсула,Города воинской славы,10 рублей,,10
Ковров,Капсула,Города воинской славы,10 рублей,,10
Великие Луки,Капсула,Города воинской славы,10 рублей,,10
Брянск,Капсула,Города воинской славы,10 рублей,,10
Волоколамск,Капсула,Города воинской славы,10 рублей,,10
Таганрог,Капсула,Города воинской славы,10 рублей,,10
Владивосток,Капсула,Города воинской славы,10 рублей,,10
Выборг,Капсула,Города воинской славы,10 рублей,,10
Старый Оскол,Капсула,Города воинской славы,10 рублей,,10
Тихвин,Капсула,Города воинской славы,10 рублей,,10
Хабаровск,Капсула,Города воинской славы,10 рублей,,10
Архангельск,Капсула,Города воинской славы,10 рублей,,10
Великий Новгород,Капсула,Города воинской славы,10 рублей,,10
Ржев,Капсула,Города воинской славы,10 рублей,,10
Таганрог,Капсула,Города воинской славы,10 рублей,,10
Псков,Капсула,Города воинской славы,10 рублей,,10
Ростов-на-Дону,Капсула,Города воинской славы,10 рублей,,10
Нальчик,Капсула,Города воинской славы,10 рублей,,10
Малоярославец,Капсула,Города воинской славы,10 рублей,,10
Наро-Фоминск,Капсула,Города воинской славы,10 рублей,,10
Луга,Капсула,Города воинской славы,10 рублей,,10
Белгород,Капсула,Города воинской славы,10 рублей,,10
Архангельск,Капсула,Города воинской славы,10 рублей,,10
Выборг,Капсула,Города воинской славы,10 рублей,,10
Кронштадт,Капсула,Города воинской славы,10 рублей,,10
Великий Новгород,Капсула,Города воинской славы,10 рублей,,10
Луга,Капсула,Города воинской славы,10 рублей,,10
Елец,Капсула,Города воинской славы,10 рублей,,10
Ржев,Капсула,Города воинской славы,10 рублей,,10
Ростов-на-Дону,Капсула,Города воинской славы,10 рублей,,10
Ельня,Капсула,Города воинской славы,10 рублей,,10
Малгобек,Капсула,Города воинской славы,10 рублей,,10
Воронеж,Капсула,Города воинской славы,10 рублей,,10
Воронеж,Капсула,Города воинской славы,10 рублей,,10
Владикавказ,Капсула,Города воинской славы,10 рублей,,10
Великие Луки,Капсула,Города воинской славы,10 рублей,,10
Орел,Капсула,Города воинской славы,10 рублей,,10
Белгород,Капсула,Города воинской славы,10 рублей,,10
Псков,Капсула,Города воинской славы,10 рублей,,10
Курск,Капсула,Города воинской славы,10 рублей,,10
Туапсе,Капсула,Города воинской славы,10 рублей,,10
Полярный,Капсула,Города воинской славы,10 рублей,,10
Вязьма,Капсула,Города воинской славы,10 рублей,,10
Петрозаводск,Капсула,Города воинской славы,10 рублей,,10
Великие Луки,Капсула,Города воинской славы,10 рублей,,10
Ломоносов,Капсула,Города воинской славы,10 рублей,,10
Козельск,Капсула,Города воинской славы,10 рублей,,10
Ковров,Капсула,Города воинской славы,10 рублей,,10
Малгобек,Капсула,Города воинской славы,10 рублей,,10
Колпино,Капсула,Города воинской славы,10 рублей,,10
Вязьма,Капсула,Города воинской славы,10 рублей,,10
Наро-Фоминск,Капсула,Города воинской славы,10 рублей,,10
Республика Башкортостан,Капсула,Субъекты РФ,10 рублей,,10
Ростовская область,Капсула,Субъекты РФ,10 рублей,,10
Архангельская область,Капсула,Субъекты РФ,10 рублей,,10
Саратовская область,Капсула,Субъекты РФ,10 рублей,,10
Воронежская область,Капсула,Субъекты РФ,10 рублей,,10
Белгородская область,Капсула,Субъекты РФ,10 рублей,,10
Республика Ингушетия,Капсула,Субъекты РФ,10 рублей,,10
Кировская область,Капсула,Субъекты РФ,10 рублей,,10
Воронежская область,Капсула,Субъекты РФ,10 рублей,,10
Республика Коми,Капсула,Субъекты РФ,10 рублей,,10
Республика Татарстан,Капсула,Субъекты РФ,10 рублей,,10
Республика Саха (Якутия),Капсула,Субъекты РФ,10 рублей,,10
Сахалинская область,Капсула,Субъекты РФ,10 рублей,,10
Новосибирская область,Капсула,Субъекты РФ,10 рублей,,10
Архангельская область,Капсула,Субъекты РФ,10 рублей,,10
Республика Дагестан,Капсула,Субъекты РФ,10 рублей,,10
Тюменская республика,Капсула,Субъекты РФ,10 рублей,,10
Амурская область,Капсула,Субъекты РФ,10 рублей,,10
Орловская область,Капсула,Субъекты РФ,10 рублей,,10
Удмуртская республика,Капсула,Субъекты РФ,10 рублей,,10
Москва,Капсула,Субъекты РФ,10 рублей,,10
Краснодарский край,Капсула,Субъекты РФ,10 рублей,,10
Белгородская республика,Капсула,Субъекты РФ,10 рублей,,10
Республика Алтай,Капсула,Субъекты РФ,10 рублей,,10
Читинская область,Капсула,Субъекты РФ,10 рублей,,10
Приморский край,Капсула,Субъекты РФ,10 рублей,,10
Республика Хакасия,Капсула,Субъекты РФ,10 рублей,,10
Республика Северная Осетия-Алания,Капсула,Субъекты РФ,10 рублей,,10
Астраханская область,Капсула,Субъекты РФ,10 рублей,,10
Республика Калмыкия,Капсула,Субъекты РФ,10 рублей,,10
Кабардино-Балкарская республика,Капсула,Субъекты РФ,10 рублей,,10
Липецкая область,Капсула,Субъекты РФ,10 рублей,,10
Челябинская область,Капсула,Субъекты РФ,10 рублей,,10
Саратовская область,Капсула,Субъекты РФ,10 рублей,,10
Республика Саха (Якутия),Капсула,Субъекты РФ,10 рублей,,10
Еврейская автономная область,Капсула,Субъекты РФ,10 рублей,,10
Пензенская область,Капсула,Субъекты РФ,10 рублей,,10
